State,L,E_vortex
vortex,8.0,8.353125891192576e-18
vortex,8.1,8.496573527682107e-18
vortex,8.2,8.638317096489687e-18
vortex,8.3,8.778418931139445e-18
vortex,8.4,8.916935251627324e-18
vortex,8.5,9.053915584316674e-18
vortex,8.6,9.189404140498558e-18
vortex,8.7,9.323439747636548e-18
vortex,8.8,9.456056924406262e-18
vortex,8.9,9.5872853726748e-18
vortex,9.0,9.717152111411734e-18
flower,8.0,7.762576051043028e-18
flower,8.1,8.040824344255966e-18
flower,8.2,8.325310102208368e-18
flower,8.3,8.616091230332796e-18
flower,8.4,8.913225011699599e-18
flower,8.5,9.216770081220996e-18
flower,8.6,9.526784074778607e-18
flower,8.7,9.843324930598356e-18
flower,8.8,1.0166449204174239e-17
flower,8.9,1.0496215115547646e-17
flower,9.0,1.0832678831945358e-17
